Category,Subcategory,Fast_Food,Pub_Bar,Gambling,Tobacco,Leisure
Shops & Amenities,Accident Compensation,,,,,
Shops & Amenities,Accountants,,,,,
Shops & Amenities,Advice Centres,,,,,
Home & Garden,Agricultural Equipment,,,,,
Home & Garden,Air Conditioning Equipment,,,,,
Taxis & Transport,Airports,,,,,
Health & Beauty,Alternative & Complementary Medicines,,,,,
Events & Attractions,Amusement Parks & Arcades,,,,,
Shops & Amenities,Antique Dealers,,,,,
Shops & Amenities,Antiques - Repairing & Restoring,,,,,
Home & Garden,Architect,,,,,
Home & Garden,Architectural Salvage Yard,,,,,
Shops & Amenities,Art & Craft,,,,,
Shops & Amenities,Art Galleries & Fine Art Dealers,,,,,
Shops & Amenities,ATM Lobby,,,,,
Non Retail,Auctioneers & Valuers,,,,,
Shops & Amenities,Auctioneers & Valuers,,,,,
Shops & Amenities,Audio Visual Rental,,,,,
Food & Drink,Bakers Shops,,,,,
Shops & Amenities,Banks & Other Financial Institutions,,,,,
Health & Beauty,Barbers,,,,,
"Pubs, Bars & Clubs",Bars,,1,,,
Home & Garden,Bathroom Equipment & Fittings,,,,,
Health & Beauty,Beauty Products,,,,,
Health & Beauty,Beauty Salons,,,,,
Hotels,Bed & Breakfast,,,,,
Home & Garden,"Beds, Bedding & Blankets",,,,,
Events & Attractions,Bingo Halls,,,,,
Home & Garden,"Blinds, Awnings & Canopies",,,,,
Shops & Amenities,Boat Shops,,,,,
Events & Attractions,Booking Agents,,,,,
Shops & Amenities,Bookmakers,,,1,,
Shops & Amenities,Books - Rare & Secondhand,,,,,
Shops & Amenities,Booksellers,,,,,
Events & Attractions,Bowling Alleys,,,,,
Shops & Amenities,Brewery,,,,,
Clothes & Fashion,Bride & Groom Shops,,,,,
Home & Garden,Builders,,,,,
Home & Garden,Builders' Merchants,,,,,
Shops & Amenities,Building Societies,,,,,
Shops & Amenities,Bureaux de Change,,,,,
Shops & Amenities,Business Centres,,,,,
Food & Drink,Butchers,,,,,
Clothes & Fashion,"Buttons, Buckles & Beads",,,,,
Food & Drink,Cafe & Tearoom,,,,,
Food & Drink,"Cake Makers, Decorators & Supplies",,,,,
Shops & Amenities,Camping Goods & Outdoor Wear,,,,,
Home & Garden,Candle Suppliers,,,,,
Taxis & Transport,Car & Van Hire,,,,,
Taxis & Transport,Car Accessories & Parts,,,,,
Taxis & Transport,Car Body Repairs,,,,,
Taxis & Transport,Car Breakdown & Recovery Service,,,,,
Taxis & Transport,Car Dealers,,,,,
Taxis & Transport,Car Parking & Garaging,,,,,
